Euclidean distance to entrance (meter),Euclidean distance to source of daylight (meter),CO2 Levels in PPM * 0.001
33.04,6.10,368.627
32.05,5.32,368.627
31.06,4.61,356.863
30.08,4.03,356.863
29.09,3.64,356.863
28.11,3.50,356.863
27.13,3.50,364.706
26.15,3.50,364.706
25.17,3.50,364.706
24.20,3.50,364.706
23.24,3.50,368.627
22.28,3.50,368.627
21.33,3.50,376.471
20.40,3.50,376.471
19.51,3.50,407.843
18.73,3.50,407.843
18.14,3.50,447.059
17.72,3.50,447.059
17.53,3.64,486.275
17.56,4.03,486.275
17.69,4.61,509.804
17.88,5.32,509.804
18.11,6.10,505.882
18.39,6.95,505.882
18.71,8.32,486.275
19.07,8.50,486.275
19.49,8.50,470.588
19.99,9.19,470.588
20.62,8.50,462.745
21.39,8.50,462.745
22.29,8.50,474.51
23.23,8.50,474.51
24.18,8.50,486.275
25.14,8.50,486.275
26.11,8.50,494.118
27.08,8.50,494.118
28.06,8.50,521.569
29.04,8.50,521.569
30.02,8.50,552.941
31.00,8.50,552.941
31.99,8.50,568.627
32.98,9.19,568.627
33.97,8.50,564.706
34.96,8.50,564.706
35.95,8.50,545.098
36.94,8.50,545.098
37.93,7.50,517.647
38.93,6.50,517.647
39.92,5.50,482.353
40.91,4.50,482.353
41.91,3.50,454.902
42.90,2.50,454.902
43.90,1.50,443.137
62.90,1.50,631.373
61.90,2.50,631.373
60.90,3.50,592.157
59.90,4.50,592.157
58.90,5.50,572.549
57.90,6.50,572.549
56.90,7.50,556.863
55.90,8.50,556.863
54.90,9.50,537.255
53.90,9.50,537.255
52.90,9.50,501.961
51.91,9.62,501.961
50.91,9.50,470.588
49.91,9.50,470.588
48.91,9.50,450.98
47.91,9.50,450.98
46.91,9.50,439.216
45.91,9.50,439.216
44.91,9.50,427.451
43.91,9.50,427.451
42.91,9.50,407.843
41.92,9.50,407.843
40.92,9.50,392.157
39.92,9.50,392.157
38.92,9.50,380.392
37.92,9.62,380.392
36.92,9.50,384.314
35.91,8.38,384.314
34.91,7.43,384.314
33.91,6.50,384.314
32.91,5.59,372.549
31.91,4.72,372.549
30.92,3.91,360.784
29.92,3.20,360.784
28.93,2.69,364.706
27.93,2.50,364.706
26.94,2.50,376.471
25.94,2.50,376.471
24.95,2.50,384.314
23.96,2.50,384.314
22.97,2.50,388.235
21.99,2.50,388.235
21.01,2.50,396.078
20.03,2.50,396.078
19.07,2.50,423.529
18.13,2.50,423.529
17.31,2.50,462.745
16.78,2.50,462.745
16.53,2.69,505.882
16.56,3.20,505.882
16.70,3.91,537.255
16.90,4.72,537.255
17.14,5.59,537.255
17.43,6.50,537.255
17.77,7.43,521.569
18.15,8.38,521.569
18.60,9.50,505.882
19.20,9.62,505.882
20.03,9.50,498.039
20.97,9.50,498.039
21.94,9.50,505.882
22.92,9.50,505.882
23.90,9.50,509.804
24.89,9.50,509.804
25.88,9.50,513.725
26.87,9.50,513.725
27.86,9.50,521.569
28.85,9.50,521.569
29.85,9.50,541.176
30.84,9.50,541.176
31.84,9.50,552.941
32.83,9.62,552.941
33.83,9.50,552.941
34.83,9.50,552.941
35.83,9.50,545.098
36.82,8.50,545.098
37.82,7.50,529.412
38.82,6.50,529.412
39.82,5.50,501.961
40.82,4.50,501.961
41.82,3.50,470.588
42.82,2.50,470.588
43.82,1.50,454.902
62.91,1.50,631.373
61.91,2.50,631.373
60.92,3.50,592.157
59.95,4.50,592.157
58.96,5.50,572.549
57.90,6.50,572.549
56.90,7.50,556.863
55.90,8.50,556.863
54.91,9.50,537.255
53.92,10.50,537.255
52.94,10.50,501.961
51.96,10.61,501.961
50.96,10.50,470.588
49.96,10.50,470.588
48.96,10.50,450.98
47.96,10.50,450.98
46.96,10.50,439.216
45.96,10.50,439.216
44.96,10.50,427.451
43.96,10.50,427.451
42.96,10.50,407.843
41.96,10.50,407.843
40.96,10.50,392.157
39.95,10.50,392.157
38.95,10.50,380.392
37.95,10.11,380.392
36.88,9.12,384.314
35.88,8.14,384.314
34.88,7.16,384.314
33.88,6.18,384.314
32.88,5.22,372.549
31.88,4.27,372.549
30.88,3.35,360.784
29.88,2.50,360.784
28.90,1.80,364.706
27.92,1.50,364.706
26.91,1.50,376.471
25.91,1.50,376.471
24.91,1.50,384.314
23.91,1.50,384.314
22.90,1.50,388.235
21.90,1.50,388.235
20.89,1.50,396.078
19.89,1.50,396.078
18.88,1.50,423.529
17.87,1.50,423.529
16.86,1.50,462.745
15.90,1.50,462.745
15.53,1.80,505.882
15.57,2.50,505.882
15.71,3.35,537.255
15.92,4.27,537.255
16.17,5.22,537.255
16.48,6.18,537.255
16.83,7.16,521.569
17.23,8.14,521.569
17.77,9.12,505.882
18.78,10.11,505.882
19.80,10.50,498.039
20.80,10.50,498.039
21.81,10.50,505.882
22.81,10.50,505.882
23.82,10.50,509.804
24.82,10.50,509.804
25.83,10.50,513.725
26.83,10.50,513.725
27.83,10.50,521.569
28.83,10.50,521.569
29.84,10.50,541.176
30.84,10.50,541.176
31.84,10.50,552.941
32.84,10.61,552.941
33.82,10.50,552.941
34.81,10.50,552.941
35.80,9.50,545.098
36.80,8.50,545.098
37.79,7.50,529.412
38.80,6.50,529.412
39.86,5.50,501.961
40.84,4.50,501.961
41.82,3.50,470.588
42.81,2.50,470.588
43.81,1.50,454.902
63.11,1.50,615.686
62.18,2.50,615.686
61.30,3.50,584.314
57.07,7.50,560.784
56.11,8.50,560.784
55.17,9.50,549.02
54.30,10.50,549.02
35.97,8.14,396.078
34.98,7.02,388.235
34.00,6.02,388.235
33.03,5.02,376.471
32.06,4.03,376.471
31.13,3.04,368.627
30.25,2.06,368.627
14.55,1.12,501.961
14.57,2.06,501.961
14.73,3.04,537.255
14.94,4.03,537.255
15.21,5.02,552.941
15.53,6.02,552.941
15.90,7.02,545.098
16.34,8.14,545.098
35.17,10.50,537.255
36.05,9.50,541.176
36.99,8.50,541.176
37.95,7.50,537.255
42.19,3.50,482.353
43.07,2.50,482.353
44.01,1.50,458.824
63.54,1.50,615.686
62.72,2.50,615.686
62.26,3.50,584.314
57.42,7.91,560.784
56.53,9.19,560.784
55.71,9.62,549.02
55.26,10.61,549.02
36.20,8.00,396.078
35.24,7.00,388.235
34.30,6.00,388.235
33.38,5.00,376.471
32.49,4.00,376.471
31.66,3.00,368.627
31.21,2.00,368.627
13.57,1.00,501.961
13.57,2.00,501.961
13.74,3.00,537.255
13.97,4.00,537.255
14.25,5.00,552.941
14.59,6.00,552.941
14.98,7.00,545.098
15.46,8.00,545.098
36.14,10.61,537.255
36.59,9.62,541.176
37.41,9.19,541.176
38.30,7.91,537.255
43.15,3.50,482.353
43.61,2.50,482.353
44.43,1.50,458.824
64.34,1.50,600
63.78,2.50,600
63.49,3.50,572.549
57.92,7.50,549.02
57.13,8.50,549.02
56.53,9.50,545.098
56.28,10.50,545.098
36.54,8.00,392.157
35.63,7.00,388.235
34.73,6.00,388.235
33.87,5.00,384.314
33.08,4.00,384.314
32.48,3.00,380.392
32.22,2.00,380.392
12.57,1.00,486.275
12.58,2.00,486.275
12.76,3.00,517.647
13.00,4.00,517.647
13.30,5.00,541.176
13.66,6.00,541.176
14.07,7.00,552.941
14.57,8.00,552.941
37.15,10.50,541.176
37.40,9.50,541.176
38.00,8.50,541.176
38.80,7.50,529.412
44.38,3.50,478.431
44.67,2.50,478.431
45.23,1.50,447.059
64.55,1.50,600
63.47,2.50,600
62.40,3.50,572.549
61.37,4.50,572.549
60.37,5.50,556.863
59.32,6.50,556.863
58.54,7.50,549.02
57.91,8.50,549.02
57.47,9.50,545.098
57.28,10.50,545.098
36.98,8.00,392.157
36.11,7.00,388.235
35.27,6.00,388.235
34.49,5.00,384.314
33.85,4.00,384.314
33.42,3.00,380.392
33.23,2.00,380.392
11.56,1.00,486.275
11.59,2.00,486.275
11.78,3.00,517.647
12.03,4.00,517.647
12.36,5.00,541.176
12.74,6.00,541.176
13.17,7.00,552.941
13.69,8.00,552.941
38.16,10.50,541.176
38.35,9.50,541.176
38.78,8.50,541.176
39.42,7.50,529.412
40.20,6.50,529.412
41.25,5.50,509.804
42.25,4.50,509.804
43.28,3.50,478.431
44.35,2.50,478.431
45.43,1.50,447.059
64.53,1.50,584.314
63.52,2.50,584.314
62.53,3.50,556.863
61.58,4.50,556.863
60.72,5.50,529.412
59.96,6.50,529.412
59.30,7.50,521.569
58.80,8.50,521.569
58.44,9.50,521.569
58.29,10.50,521.569
37.50,8.00,380.392
36.67,7.00,384.314
35.91,6.00,384.314
35.25,5.00,384.314
34.75,4.00,384.314
34.38,3.00,380.392
34.24,2.00,380.392
10.56,1.00,482.353
10.59,2.00,482.353
10.80,3.00,501.961
11.07,4.00,501.961
11.42,5.00,533.333
11.82,6.00,533.333
12.28,7.00,560.784
12.83,8.00,560.784
39.16,10.50,568.627
39.31,9.50,552.941
39.68,8.50,552.941
40.18,7.50,533.333
40.83,6.50,533.333
41.60,5.50,505.882
42.46,4.50,505.882
43.41,3.50,478.431
44.40,2.50,478.431
45.41,1.50,439.216
64.77,1.50,584.314
63.83,2.50,584.314
62.94,3.50,556.863
62.12,4.50,556.863
61.37,5.50,529.412
60.70,6.50,529.412
60.16,7.50,521.569
59.73,8.50,521.569
59.41,9.50,521.569
59.29,10.50,521.569
38.09,8.00,380.392
37.32,7.00,384.314
36.65,6.00,384.314
36.11,5.00,384.314
35.68,4.00,384.314
35.36,3.00,380.392
35.24,2.00,380.392
9.56,1.00,482.353
9.60,2.00,482.353
9.82,3.00,501.961
10.12,4.00,501.961
10.49,5.00,533.333
10.92,6.00,533.333
11.41,7.00,560.784
11.98,8.00,560.784
40.17,10.50,568.627
40.28,9.50,552.941
40.61,8.50,552.941
41.04,7.50,533.333
41.58,6.50,533.333
42.25,5.50,505.882
43.00,4.50,505.882
43.81,3.50,478.431
44.71,2.50,478.431
45.65,1.50,439.216
65.18,1.50,564.706
64.32,2.50,564.706
63.53,3.50,537.255
62.79,4.50,537.255
62.11,5.50,505.882
61.54,6.50,505.882
61.07,7.50,498.039
60.68,8.50,498.039
60.39,9.50,505.882
60.30,10.50,505.882
38.75,8.00,380.392
38.06,7.00,380.392
37.49,6.00,380.392
37.01,5.00,376.471
36.63,4.00,376.471
36.34,3.00,376.471
36.25,2.00,376.471
8.55,1.00,486.275
8.61,2.00,486.275
8.85,3.00,509.804
9.17,4.00,509.804
9.57,5.00,545.098
10.03,6.00,545.098
10.55,7.00,580.392
11.16,8.00,580.392
41.17,10.50,596.078
41.27,9.50,576.471
41.56,8.50,576.471
41.94,7.50,549.02
42.42,6.50,549.02
42.99,5.50,517.647
43.66,4.50,517.647
44.41,3.50,490.196
45.20,2.50,490.196
46.05,1.50,450.98
65.73,1.50,564.706
64.94,2.50,564.706
64.20,3.50,537.255
63.53,4.50,537.255
62.93,5.50,505.882
62.42,6.50,505.882
61.99,7.50,498.039
61.64,8.50,498.039
61.38,9.50,505.882
61.30,10.50,505.882
39.49,8.00,380.392
38.87,7.00,380.392
38.37,6.00,380.392
37.94,5.00,376.471
37.59,4.00,376.471
37.32,3.00,376.471
37.25,2.00,376.471
7.55,1.00,486.275
7.62,2.00,486.275
7.89,3.00,509.804
8.24,4.00,509.804
8.67,5.00,545.098
9.16,6.00,545.098
9.73,7.00,580.392
10.38,8.00,580.392
42.18,10.50,596.078
42.25,9.50,576.471
42.51,8.50,576.471
42.87,7.50,549.02
43.30,6.50,549.02
43.81,5.50,517.647
44.40,4.50,517.647
45.08,3.50,490.196
45.81,2.50,490.196
46.61,1.50,450.98
66.36,1.50,541.176
65.62,2.50,541.176
64.94,3.50,513.725
64.33,4.50,513.725
63.79,5.50,494.118
63.32,6.50,494.118
62.93,7.50,486.275
62.60,8.50,486.275
62.36,9.50,490.196
62.31,10.50,490.196
40.30,8.00,380.392
39.73,7.00,376.471
39.27,6.00,376.471
38.87,5.00,372.549
38.55,4.00,372.549
38.31,3.00,364.706
38.25,2.00,364.706
6.55,1.00,501.961
6.64,2.00,501.961
6.93,3.00,529.412
7.31,4.00,529.412
7.78,5.00,568.627
8.32,6.00,568.627
8.94,7.00,607.843
9.65,8.00,607.843
43.18,10.50,627.451
43.24,9.50,596.078
43.48,8.50,596.078
43.80,7.50,556.863
44.20,6.50,556.863
44.67,5.50,521.569
45.20,4.50,521.569
45.81,3.50,490.196
46.49,2.50,490.196
47.24,1.50,450.98
67.05,1.50,541.176
66.35,2.50,541.176
65.73,3.50,513.725
65.17,4.50,513.725
64.68,5.50,494.118
64.24,6.50,494.118
63.87,7.50,486.275
63.57,8.50,486.275
63.35,9.50,490.196
63.31,10.50,490.196
41.15,8.00,380.392
40.62,7.00,376.471
40.19,6.00,376.471
39.82,5.00,372.549
39.52,4.00,372.549
39.30,3.00,364.706
39.26,2.00,364.706
5.54,1.00,501.961
5.66,2.00,501.961
5.98,3.00,529.412
6.41,4.00,529.412
6.92,5.00,568.627
7.53,6.00,568.627
8.22,7.00,607.843
9.00,8.00,607.843
44.18,10.50,627.451
44.23,9.50,596.078
44.45,8.50,596.078
44.75,7.50,556.863
45.12,6.50,556.863
45.55,5.50,521.569
46.05,4.50,521.569
46.60,3.50,490.196
