Euclidean distance to entrance (meter),Euclidean distance to source of daylight (meter),CO2 Levels in PPM * 0.001
50.22,2.50,549.02
49.31,2.50,549.02
48.43,2.50,529.412
47.77,2.50,529.412
47.89,2.50,521.569
45.76,2.50,521.569
44.66,2.50,490.196
43.60,2.50,490.196
42.57,2.50,447.059
41.55,2.50,447.059
40.55,2.50,431.373
39.56,2.50,431.373
38.61,2.50,435.294
37.70,2.50,435.294
36.82,2.50,447.059
36.01,2.50,447.059
35.50,2.50,447.059
34.86,2.50,447.059
33.42,2.50,450.98
32.27,2.50,450.98
31.21,2.50,462.745
30.22,2.50,462.745
29.26,2.50,490.196
28.38,2.50,490.196
27.54,2.50,513.725
26.73,2.50,513.725
25.94,2.50,517.647
25.21,2.50,517.647
24.53,2.50,513.725
23.92,2.50,513.725
23.43,2.50,517.647
23.12,2.50,517.647
23.07,2.50,529.412
23.40,2.50,529.412
22.34,2.50,529.412
21.80,2.50,529.412
21.55,2.50,525.49
21.57,2.50,525.49
21.66,2.50,545.098
21.81,2.50,545.098
22.01,2.50,572.549
22.24,2.50,572.549
22.52,2.50,592.157
22.83,2.50,592.157
23.23,2.50,600
23.81,2.50,600
24.69,2.50,603.922
25.63,2.50,603.922
25.28,2.50,611.765
25.54,2.50,611.765
26.02,2.50,600
26.65,2.50,600
27.32,2.50,576.471
28.05,2.50,576.471
28.81,2.50,541.176
29.62,2.50,541.176
30.47,2.50,513.725
31.33,2.50,513.725
32.21,2.50,501.961
33.10,2.50,501.961
34.00,2.50,490.196
34.96,2.50,490.196
35.95,2.50,466.667
36.96,2.50,466.667
37.99,2.50,439.216
39.06,2.50,439.216
40.19,2.50,427.451
42.05,2.50,427.451
42.08,2.50,419.608
42.77,2.50,419.608
43.65,1.50,396.078
62.24,1.50,623.529
61.26,1.50,623.529
60.25,1.50,607.843
59.26,1.50,607.843
58.26,1.50,596.078
57.27,1.50,596.078
56.28,1.50,600
55.31,1.50,600
54.36,1.50,600
53.42,1.50,600
52.49,1.50,580.392
51.57,1.50,580.392
50.70,1.50,549.02
50.08,1.50,549.02
49.41,1.50,529.412
48.00,1.50,529.412
46.90,1.50,521.569
45.84,1.50,521.569
44.81,1.50,490.196
43.80,1.50,490.196
42.81,1.50,447.059
41.83,1.50,447.059
40.88,1.50,431.373
39.96,1.50,431.373
39.08,1.50,435.294
38.23,1.50,435.294
37.52,1.50,447.059
37.28,1.50,447.059
35.85,1.50,447.059
34.62,1.50,447.059
33.53,1.50,450.98
32.52,1.50,450.98
31.56,1.50,462.745
30.64,1.50,462.745
29.79,1.50,490.196
28.96,1.50,490.196
28.16,1.50,513.725
27.38,1.50,513.725
26.64,1.50,517.647
25.96,1.50,517.647
25.33,1.50,513.725
24.77,1.50,513.725
24.37,1.50,517.647
24.13,1.50,517.647
24.15,1.50,529.412
23.96,1.50,529.412
23.16,1.50,529.412
22.74,1.50,529.412
22.54,1.50,525.49
22.56,1.50,525.49
22.66,1.50,545.098
22.80,1.50,545.098
22.99,1.50,572.549
23.21,1.50,572.549
23.48,1.50,592.157
23.78,1.50,592.157
24.13,1.50,600
24.61,1.50,600
25.26,1.50,603.922
26.40,1.50,603.922
26.46,1.50,611.765
26.50,1.50,611.765
26.88,1.50,600
27.43,1.50,600
28.07,1.50,576.471
28.76,1.50,576.471
29.48,1.50,541.176
30.25,1.50,541.176
31.05,1.50,513.725
31.88,1.50,513.725
32.74,1.50,501.961
33.61,1.50,501.961
34.48,1.50,490.196
35.37,1.50,490.196
36.29,1.50,466.667
37.24,1.50,466.667
38.22,1.50,439.216
39.23,1.50,439.216
40.26,1.50,427.451
41.34,1.50,427.451
42.49,1.50,419.608
44.11,1.50,419.608
44.31,1.50,396.078
